"Wild.type.untreated.rep1"	"Wild.type.untreated.rep2"	"Wild.type.untreated.rep3"	"Wild.type.untreated.rep4"	"Wild.type.untreated.rep5"	"Wild.type.antibiotic.treated.rep1"	"Wild.type.antibiotic.treated.rep2"	"Wild.type.antibiotic.treated.rep3"	"Wild.type.antibiotic.treated.rep4"	"Wild.type.antibiotic.treated.rep5"
"LSG1"	7.275508	7.242789	7.013137	7.091985	7.156374	7.277203	7.251236	7.296094	7.09127	7.253874
"MAN2A1"	9.233944	9.62261	9.47078	9.286876	9.194774	9.036128	8.63595	9.628629	9.428465	9.287605
"FAM110B"	6.052148	5.906018	5.88545	5.952092	5.940674	5.998391	6.142912	5.898711	6.084448	6.112189
"KCNC1"	5.828994	5.640226	5.572434	5.571164	5.718166	5.658235	5.726177	5.57151	5.6714	5.643133
"ZDHHC4"	9.800412	9.680344	9.46059	9.728282	9.609946	9.55855	10.199612	9.713669	9.581948	9.924585
"ARID4A"	6.550811	6.536566	6.646005	6.777297	6.620442	6.497855	6.318714	6.692055	6.688559	6.571642
"FKBP15"	5.537856	5.549293	5.647931	5.589315	5.544615	5.516707	5.755847	5.577462	5.617091	5.537998
"CHST15"	6.619326	6.432557	6.284869	6.549931	6.632046	6.35775	6.732087	6.637306	6.44918	6.714957
"CREG1"	6.87188	7.120414	6.369154	6.685896	6.941346	6.768185	7.093481	6.742715	6.908873	7.154168
"SF3B2"	10.508414	10.457947	10.588402	10.664171	10.417584	10.240463	10.881146	10.627265	10.641843	10.66011
"CLCC1"	5.645434	5.596434	5.903102	5.619956	5.557387	5.512885	5.461648	5.8773	5.375073	5.627293
"SLC4A2"	11.359118	11.427753	11.168818	11.924345	11.101396	11.726229	11.672308	11.581576	11.572499	11.421086
"MICU1"	6.561176	6.571266	6.322224	6.419956	6.301771	6.309339	6.529292	6.536175	6.244134	6.343093
"ADAMTSL3"	5.534109	5.722936	5.631475	5.502405	5.460082	5.66425	5.56428	5.361515	5.563078	5.608068
"C14orf2"	13.745166	13.711031	13.738391	13.461071	13.488655	13.644919	13.318441	13.53073	13.235201	13.568026
"SERINC5"	5.955642	5.926862	5.810241	5.835759	6.008465	5.979457	6.031232	5.898956	5.857804	5.944746
"ABCB9"	5.542296	5.434783	5.580516	5.574939	5.733331	5.639239	5.612648	5.800133	5.489348	5.487999
"TAAR8"	5.584889	5.712351	5.677579	5.68981	5.539427	5.521934	5.800185	5.771586	5.618051	5.65862
"PUF60"	10.738122	10.915005	10.396145	11.025898	10.894249	10.855949	11.092088	11.02785	10.670917	10.86436
"TEKT1"	5.793025	5.785081	5.823954	5.791716	5.509207	5.597366	5.58756	5.627754	5.519093	5.548174
"AKIRIN1"	9.128159	8.997262	9.489178	9.667638	9.762331	9.337786	9.204665	9.049329	9.601978	9.469478
"PSMB1"	10.707423	10.793817	10.661615	10.489659	10.731155	10.8297	10.886531	10.689469	10.799471	10.600055
"SNAI3"	6.633702	6.374339	6.306516	6.620793	6.640206	6.878927	6.76544	6.657842	6.527436	6.676743
"SH2D6"	5.844785	5.789864	6.198908	6.479895	5.879904	5.923776	5.70345	5.720537	5.69719	5.748041
"KIF1B"	7.022403	6.972216	7.110298	7.214445	7.180082	7.038267	6.946911	7.10962	7.058753	6.996465
"RAB39B"	6.098492	5.847488	5.951099	6.054296	6.118613	5.925732	6.195862	6.050747	5.907509	5.937761
"ATP2A2"	9.228141	9.040843	9.343064	9.561552	8.762358	8.832517	8.329233	8.781098	8.278728	8.441702
"PRDX5"	10.324235	10.591103	10.096763	10.124073	10.239528	10.991941	10.698834	10.266813	10.884988	10.646834
"PRDM10"	5.620367	5.648486	5.678598	5.758309	5.721194	5.605863	5.687983	5.546625	5.593046	5.588889
"PELI1"	7.51123	7.626595	7.766526	7.719528	7.9667	7.521344	6.979223	8.187928	7.826875	7.622348
"MLLT4"	9.0393	8.986256	8.934101	9.182231	8.850517	8.853152	8.43387	9.2501	8.839486	8.861492
"TARS"	6.48905	6.575216	6.625294	6.510701	6.284496	6.581063	6.656234	6.257479	6.575913	6.293754
"IRF2BP2"	7.286236	7.667251	7.334873	7.269289	7.191411	7.225886	7.276825	7.212196	7.452783	7.492949
"RPA3"	8.669891	8.823945	9.182607	8.5633	9.056412	8.524315	8.402911	8.846465	8.535115	8.598927
"LYSMD2"	5.854094	5.590206	5.957183	6.002757	5.894068	5.785617	5.689581	5.580146	5.724354	5.564252
"KCTD5"	8.662978	8.417156	8.73336	8.862484	9.027725	8.888331	8.9625	8.62898	9.057153	8.913659
"GLIPR2"	6.025224	6.21683	6.468564	6.526356	6.132109	5.9211	6.062043	5.735548	5.667088	5.673893
"ABHD16B"	5.83308	6.045112	5.954341	5.769847	5.723905	5.823032	5.826567	5.535648	6.05155	5.945173
"EXTL3"	7.196853	7.083741	7.140979	7.294278	7.394745	6.986769	7.459182	7.419035	7.028172	7.199344
"DNAJC13"	7.854503	7.95528	8.220198	8.374102	8.117138	7.977175	7.24664	7.789644	7.93949	7.791952
"NRXN1"	5.616823	5.638918	5.56561	5.625482	5.480814	5.552806	5.553799	5.609547	5.643368	5.677224
"SLIRP"	9.716492	9.641313	9.992288	9.557816	9.730045	9.912093	8.48775	9.838218	9.291539	9.475928
"MB21D1"	6.787128	6.709726	6.905481	6.923136	7.047776	6.280036	6.667262	6.615187	6.431743	6.398544
"YIPF2"	6.69466	6.687699	6.892016	6.851536	6.721253	7.03656	7.076716	6.832054	7.031762	6.974821
"XRN2"	6.609265	6.549724	6.508417	6.548324	6.593495	6.521358	6.383002	6.574561	6.656931	6.460318
"PELI3"	5.612788	5.612921	5.571045	5.641282	5.859579	5.50322	5.669112	5.712213	5.550935	5.646343
"EPN3"	6.139431	5.788527	5.834645	5.994303	6.103007	5.847341	5.866463	5.910796	5.654837	5.803192
"MAN1B1"	8.368032	8.682133	8.764257	9.768323	9.59224	9.421135	9.267984	9.690454	9.49741	9.2363
"CTBP2"	6.246618	6.285074	6.419131	6.474447	6.397718	6.436342	6.460909	6.454826	6.70427	6.364983
"GCA"	6.590422	6.52132	6.677691	6.913848	6.874536	6.53787	6.55732	6.609519	6.647701	6.554052
"HNF4G"	5.75887	5.723398	5.923922	5.794134	6.019324	5.627459	6.014958	6.01061	5.919249	5.797016
"FUZ"	5.587319	5.752368	5.640703	5.827661	5.624557	5.664985	5.844139	5.638847	5.603954	5.675187
"SNX20"	7.097839	6.956286	6.744005	6.888755	6.850159	7.286864	7.752276	7.010952	7.43379	7.520673
"TMEM222"	5.513881	5.907771	5.923717	5.789486	5.672924	5.839425	5.946085	5.792806	6.144329	5.992203
"PLAGL1"	5.587027	5.486299	5.479747	5.646048	5.752128	5.454631	5.621024	5.613165	5.413797	5.505511
"CEP104"	7.462204	7.279325	7.700844	7.728637	7.1745	7.261907	7.877455	7.144326	7.412198	7.312258
"SLC30A8"	5.607652	5.518886	5.487781	5.58767	5.643452	5.611251	5.502711	5.503129	5.584126	5.575722
"GNAL"	5.830151	5.722981	5.608704	5.711997	5.545484	5.6871	5.51754	5.605255	5.500728	5.568436
"TRIM26"	10.40768	10.436388	10.000159	10.417584	9.726489	10.309724	9.867086	10.278941	10.191508	10.005746
"NUP214"	6.242244	6.282919	6.042054	6.093838	5.866938	6.116313	6.324004	6.157947	6.234781	6.188948
"UPK1A"	5.982159	6.271214	5.855718	5.954475	5.874176	6.701674	6.607419	6.270193	6.367741	6.414772
"CHCHD7"	9.531299	9.611544	9.917614	9.784027	9.949755	9.72304	10.123142	9.811241	9.70898	9.998149
"DCLRE1C"	5.962917	5.906983	5.779226	5.91808	5.839001	5.918552	5.760475	5.99767	6.000846	5.853649
"GNB4"	5.601392	5.630042	5.636365	5.692288	5.753541	5.650789	5.644506	5.702915	5.545915	5.715227
"TOR1B"	8.178525	8.292677	7.764392	7.918159	8.017313	7.476898	8.235368	8.013852	7.866082	7.891422
"VPS36"	9.459824	9.267984	9.522151	9.198333	9.348885	8.901903	9.374749	9.198333	9.376472	9.30884
"NMU"	5.810575	5.579595	5.637971	5.657199	5.520795	5.562237	5.742818	5.617221	5.628882	5.563011
"ACY3"	7.53509	7.476302	7.243316	7.506804	7.523866	7.985612	8.46338	7.967277	8.179961	7.943111
"HOXB1"	5.573365	5.529557	5.557685	5.65177	5.662107	5.567685	5.450875	5.67901	5.4821	5.470478
"FNIP1"	6.617901	6.888272	6.845594	6.888534	6.683176	6.748194	6.117372	6.81864	6.701052	6.662874
"METTL1"	6.637041	6.59851	6.529903	6.370304	6.307661	5.948014	6.480381	6.512403	6.250861	6.272156
"SLC9A3R1"	10.634119	10.743433	10.600055	11.153751	11.045879	11.355335	10.88304	11.159153	11.160467	11.013004
"GALNT2"	7.320363	7.445594	7.368174	7.455571	7.414929	7.482474	7.647409	7.318238	7.295101	7.324019
"KANK2"	5.975335	5.95804	5.881555	5.890939	5.846128	6.190032	6.291744	6.023353	6.030269	6.091383
"HBZ"	5.522958	5.513299	5.505758	5.477402	5.613856	5.480026	5.531106	5.448475	5.413105	5.533317
"PRRC2B"	8.428461	8.589415	8.13939	8.234546	8.189394	7.801504	8.471218	8.490755	8.36564	8.324898
"APOA1BP"	8.898821	8.873218	8.527096	8.251612	8.812517	8.745637	9.48474	8.776187	8.766734	8.945478
"SNTN"	5.744126	5.594472	5.548938	5.714835	5.688891	5.489965	5.909203	5.653437	5.626925	5.551542
"VSIG10"	6.886625	7.226985	6.892084	6.864244	6.819034	7.214402	7.169902	7.151048	7.264769	7.383681
"KCNA10"	5.722468	5.697043	5.804629	5.77043	5.856414	5.545482	5.889263	5.789938	5.754317	5.700524
"LMO1"	5.707098	5.607968	5.490293	5.46723	5.73623	5.599204	5.670434	5.766891	5.616489	5.71451
"SLC7A7"	6.494522	6.75718	6.72575	6.689583	6.616836	7.107889	6.708189	7.022834	6.829274	6.682456
"RXFP1"	10.08804	9.975115	10.602797	10.423705	10.834634	10.08319	10.276138	9.957827	9.936691	10.354736
"KBTBD12"	5.635597	5.510383	5.64345	5.82779	5.605113	5.442589	5.714332	5.699616	5.557925	5.403596
"ZDHHC14"	6.786653	6.904316	6.679145	7.072016	6.901982	6.652068	6.892815	7.066243	6.711277	6.980143
"GPR152"	5.786704	5.436371	5.6533	5.579078	5.571674	5.635674	5.585346	5.517218	5.615554	5.535581
"PTAFR"	5.613909	5.810949	5.834751	5.751222	5.364308	6.066828	6.106523	5.342828	5.802958	5.836709
"SNX13"	6.797911	6.889552	7.450583	7.330869	7.000438	7.010905	6.066408	6.903307	6.81029	6.670198
"PLP1"	5.747507	5.836898	5.696161	5.827957	5.64577	5.571236	5.590655	5.822412	5.788088	5.795149
"TTC17"	7.195683	7.345601	7.136102	7.257665	7.149558	7.207348	7.21623	7.370372	7.251073	7.413562
"STARD4"	10.12381	10.318012	9.895569	9.669811	9.642378	9.764909	9.554899	10.196083	10.13387	9.846097
"ISX"	7.017793	6.985533	6.927404	7.174008	7.034052	7.662648	7.988299	7.068659	7.54394	7.485737
"MFAP2"	5.634737	5.495998	5.591871	5.553242	5.563083	5.489247	5.51909	5.554936	5.525023	5.46584
"EIF5"	9.803241	10.205777	10.170933	9.953146	9.972131	9.969746	8.81739	10.168452	10.483075	10.088658
"RETSAT"	10.568214	10.799108	10.005854	10.252957	10.199843	10.236241	10.897663	10.018112	10.387094	10.350764
"ATG4B"	6.073502	6.252141	5.961987	5.838781	5.728636	6.108921	5.929362	5.994942	5.862178	5.906696
"PIGV"	5.586163	5.587359	5.593923	5.459758	5.696656	5.572903	5.474305	5.582064	5.411462	5.542296
"WIPI2"	7.323862	7.373985	6.916359	7.13002	7.103047	7.175217	7.443675	7.221058	7.137119	7.187432
"ARPP21"	5.560729	5.443548	5.497362	5.508597	5.575108	5.421913	5.526256	5.62466	5.431902	5.402975
"EPCAM"	6.782986	6.589444	6.903299	6.55378	6.590024	6.563707	7.142498	6.361717	7.047707	6.858579
"ESCO1"	5.714152	5.746384	5.800192	5.768609	5.912699	5.760512	5.449152	5.768414	5.724126	5.775233
"LZIC"	7.235643	6.470715	6.832034	7.005073	7.453699	6.958327	7.005905	6.785668	6.981484	7.085099
"CEP170"	5.656997	5.537028	5.648907	5.672379	5.966984	5.596847	5.567137	5.834921	5.54992	5.514517
"TSNAXIP1"	5.717025	5.619918	5.694078	5.665601	5.458665	5.629258	5.637782	5.654725	5.595385	5.641326
"CNTLN"	5.689031	5.583563	5.629479	5.589058	5.65678	5.530665	5.603971	5.695584	5.552464	5.452141
"NECAP1"	7.067397	7.175407	7.182936	6.972433	7.219699	7.549321	7.345706	7.04768	7.388587	7.258658
"ALS2CL"	5.750681	5.692338	5.721444	5.707649	5.817337	5.658227	5.716266	5.716654	5.755881	5.68988
"PIEZO2"	5.552759	5.47216	5.536922	5.53618	5.676112	5.494929	5.705365	5.524371	5.503182	5.619734
"NOXO1"	9.420201	9.346563	9.679067	9.164037	8.857882	8.882914	9.317807	8.992913	9.022363	8.99623
"OLFM1"	5.814798	5.773852	5.678522	5.657882	5.731385	5.706076	5.804529	5.75053	5.669591	5.713604
"RFC1"	7.601669	7.781534	7.683285	8.10493	7.850753	7.322617	7.017793	7.965366	7.64076	7.705241
"C14orf105"	5.9601	5.866245	5.780511	5.606379	5.685185	5.658687	5.842445	5.725175	5.637564	5.549023
"NLRX1"	6.46912	6.403761	6.890649	6.923381	6.86355	6.386883	6.240558	6.607783	6.70209	6.667145
"GADD45GIP1"	5.661684	5.733251	5.709365	5.690204	5.584343	5.771455	5.745044	5.558226	5.73201	5.593085
"CHMP2A"	10.023448	9.883222	9.913478	9.73307	9.84854	10.089902	10.376457	9.915024	10.402656	10.14937
"NLRP14"	5.672516	5.557298	5.523284	5.509905	5.645406	5.726968	5.53009	5.630241	5.696235	5.578962
"PHKB"	6.107949	6.219088	6.268752	6.333431	6.098452	6.214256	5.977953	6.160095	6.165748	6.157803
"ATP1B3"	9.857999	10.048684	10.100711	9.459824	10.007794	9.93324	9.448088	10.018288	10.091621	9.950676
"ETAA1"	6.799488	6.793863	7.275447	7.330497	7.494087	6.567582	6.539833	7.36893	7.138536	6.961647
"TSSC1"	5.660629	6.050811	5.903525	5.971792	5.547366	5.957688	6.207269	5.612744	5.99581	6.0059
"MMP14"	8.116651	8.051798	8.600686	7.899789	7.814652	7.307983	7.791356	7.589831	7.375581	7.434491
"SH3TC2"	6.127692	5.805631	5.826751	5.989287	6.229094	6.170228	6.076635	6.130159	6.038613	6.185248
"TTC12"	5.614261	5.872547	5.9285	5.757735	5.479228	5.845921	5.735858	5.608335	5.743061	5.737127
"FOXN1"	5.501904	5.628432	5.651193	5.612277	5.789904	5.643215	5.564371	5.515693	5.554303	5.437569
"TRUB1"	6.363412	6.321623	6.268038	6.380139	6.317385	6.207777	6.462093	6.406237	6.262736	6.225576
"ACLY"	11.731278	11.579057	11.334306	11.469007	11.794949	10.887755	11.082835	11.952999	11.481828	11.624407
"EFCAB4B"	5.918603	5.813575	6.137631	6.265857	5.945313	5.745758	5.84733	5.986267	5.92654	5.971479
"GOLT1A"	7.044197	7.187686	6.945119	7.041033	7.075224	7.906166	7.751922	7.005073	7.269	7.177781
"HUS1B"	5.582861	5.610646	5.593109	5.538256	5.477082	5.6221	5.703158	5.456699	5.612966	5.660746
"COX7A1"	11.429306	11.310366	10.978065	10.993385	11.431547	11.275416	11.344318	11.197889	10.84125	11.332514
"SETD3"	7.333038	7.40786	7.57452	7.167078	7.361939	7.324124	7.516024	7.22303	7.480888	7.355707
"FRG1"	6.04056	5.883987	5.898201	5.851011	5.967816	6.113109	5.868929	5.922477	5.969983	5.814936
"RFTN1"	6.018656	5.6195	6.160288	5.752543	5.821194	5.803505	5.679457	5.816048	5.70644	5.784025
"SPRYD4"	6.440227	6.545068	6.371165	6.409133	6.472719	6.70447	6.857669	6.311527	6.45977	6.60982
"SMYD4"	8.0322	7.980282	8.137976	8.05791	8.140163	8.191232	7.917847	8.204189	8.323935	7.997969
"PPP4R1"	8.748972	8.626683	8.899054	9.088406	8.846188	8.997445	9.225138	8.999027	9.228888	8.991368
"RPS21"	13.101942	13.295307	12.955227	12.843373	13.303693	12.966196	12.742115	13.382146	12.356685	12.898649
"RBMS3"	5.623927	5.943282	5.789575	5.669074	5.638058	5.751018	5.678789	5.639859	5.7399	5.729542
"TKTL1"	5.619475	5.588303	5.507807	5.515362	5.664975	5.562522	5.578144	5.605297	5.638421	5.615731
"SEZ6L2"	5.625928	5.556089	5.500814	5.522372	5.68717	5.655023	5.619457	5.594737	5.588782	5.487527
"USP1"	6.63856	6.530743	6.855171	6.924996	6.733496	6.603116	6.172017	6.722246	6.673035	6.42267
"ABR"	6.189489	6.15423	6.138711	6.079843	6.223042	6.4439	6.264522	6.320901	6.247176	6.272092
"PPP1R1C"	5.536141	5.525516	5.508172	5.561729	5.555944	5.495224	5.463358	5.519093	5.542873	5.515568
"SLC29A4"	5.750951	5.773538	6.194107	6.145568	5.567583	5.525268	5.591735	5.618004	5.592754	5.638905
"RBM38"	5.779402	5.898871	5.960395	5.981907	5.987979	5.808326	5.818411	5.891713	5.856223	5.805619
"BOC"	5.572473	5.704253	5.668851	5.605863	5.297038	5.580401	5.737685	5.426617	5.835645	5.694564
"KCNQ2"	5.489869	5.657844	5.561963	5.553256	5.511468	5.616443	5.582611	5.524735	5.602994	5.63718
"MMADHC"	9.264045	9.020282	9.251407	8.835294	8.872415	8.989468	8.918879	8.973461	9.638226	9.278934
"PIGC"	5.845554	5.916868	5.955584	5.948929	5.868366	5.878827	5.816541	5.934095	5.766219	5.893142
"DISP2"	5.590513	5.563011	5.316868	5.527197	5.724259	5.531382	5.589108	5.6627	5.511846	5.394311
"STARD9"	5.503713	5.725157	5.729484	5.572164	5.447875	5.655846	5.692424	5.386157	5.697923	5.657854
"KANK1"	6.153001	6.253678	6.36054	6.419288	6.250285	5.960288	6.021425	6.281498	6.058464	6.129538
"SLC5A8"	8.886233	8.746614	8.96568	9.27252	9.218372	8.490764	8.249322	8.74717	8.786465	8.614167
"AVEN"	6.396886	6.487333	6.372769	6.244015	6.278272	6.579745	6.63181	6.510917	6.563066	6.517491
"HOXB4"	7.679681	8.345531	7.734693	8.408786	8.449834	8.160479	8.258212	8.230723	7.370164	7.864061
"CWC22"	6.001056	6.082675	6.169724	6.028118	6.149838	6.116003	5.833836	6.174196	6.088712	5.970218
"NARS2"	6.334463	6.463721	6.037309	5.83547	5.893486	6.261635	6.162378	5.996179	5.81946	5.990453
"FBXO48"	5.676813	5.493207	5.574665	5.719479	5.60994	5.483543	5.528061	5.481709	5.448736	5.519669
"SERPINA11"	5.573753	5.57296	5.692168	5.730494	5.641992	5.610004	5.582988	5.552087	5.665014	5.550937
"CCDC14"	5.583057	5.575725	5.643535	5.763296	5.840198	5.423213	5.446929	5.432385	5.4826	5.522729
"ZNF865"	6.132401	5.948844	6.071582	6.304152	6.363035	6.314078	6.579684	6.418519	6.306516	6.461443
"TAF6"	6.615099	6.538178	6.538611	6.434119	6.449437	6.364084	6.668229	6.409698	6.43299	6.435659
"CLMN"	7.777285	7.794403	7.528257	7.847757	7.42498	7.485007	7.563469	7.450829	7.212382	7.674641
"ADAM10"	5.932894	5.747972	6.008507	5.864266	5.760299	5.736083	5.730661	5.85677	5.737412	5.831186
"LRTM1"	6.078667	5.892109	5.849088	5.858114	6.174355	6.013169	6.252863	6.138328	5.99957	5.86902
"CAMK2N2"	6.608405	6.653216	6.552768	6.538519	6.370124	6.907976	7.310483	6.816179	6.820118	7.120191
"DOK4"	9.785391	9.808782	9.459315	9.243147	9.560988	9.977805	9.538835	9.102118	9.410826	9.605003
"ANXA3"	11.106343	10.77763	11.553619	11.309807	11.728961	10.990388	11.020231	11.274763	11.662911	11.770831
"MTMR11"	6.900585	6.762505	6.853425	7.024256	6.938897	7.123597	7.186775	6.94222	7.018776	7.034967
"ERGIC2"	7.408861	7.538201	8.064573	7.875563	7.664445	7.309055	6.859034	7.461225	7.514361	7.3226
"RSBN1"	5.592652	5.614192	5.549247	5.567677	5.46873	5.523023	5.426911	5.600286	5.578481	5.474973
"DCTD"	6.533905	6.810447	6.904316	6.628	6.594614	6.356869	6.913589	6.855888	6.717755	6.711486
"TNFRSF1A"	6.046194	6.162837	6.261571	6.397887	6.429291	6.478825	6.374507	6.201275	6.451981	6.250355
"ATHL1"	11.197889	11.214138	11.293693	11.035307	11.38062	11.271611	11.004494	10.992104	11.445296	11.153751
"LOC102723545"	5.721854	5.631778	5.546145	5.547677	5.759794	5.596693	5.622182	5.768895	5.523538	5.560563
"SEC14L3"	5.539693	5.494663	5.617643	5.516596	5.5513	5.527732	5.577173	5.668176	5.567608	5.50436
"SNX3"	6.749787	6.628789	6.666968	6.597773	6.644752	6.676955	7.002675	6.650208	6.948721	6.871818
"CEP78"	7.304988	7.238402	7.321562	7.061462	7.113283	6.529745	6.8984	7.352476	6.738649	6.935708
"OGG1"	5.552969	5.596238	5.532764	5.565677	5.534423	5.601925	5.630356	5.611844	5.681109	5.602093
"OR6K2"	5.36448	5.704526	5.51466	5.674426	5.539419	5.315325	5.421071	5.640639	5.755705	5.554408
"CSF3R"	5.60185	5.530018	5.554519	5.678671	5.663031	5.5694	5.594529	5.643938	5.596723	5.583166
"CPNE8"	6.24604	6.223258	6.109229	6.222388	6.291156	6.135444	6.214269	6.410947	6.30142	6.140588
"CASP14"	8.00781	8.091245	6.528548	7.011453	9.552024	9.249549	9.323984	10.507372	10.459227	10.401349
"DERL2"	7.009672	7.024013	6.903702	6.693104	6.803702	6.790883	7.050638	6.818117	6.813788	7.006096
"MDGA2"	5.555996	5.51533	5.527052	5.722851	5.614157	5.53529	5.713358	5.679565	5.550614	5.571344
"TM7SF2"	7.165995	6.806913	6.676043	6.724021	7.031135	6.889861	7.51415	7.082295	7.345751	7.215818
"PRRG3"	6.292017	5.812784	5.873442	5.886613	6.998548	5.605697	5.812568	6.38012	5.527437	5.473887
"VSIG4"	5.670041	5.413002	5.479969	5.508046	5.674095	5.464737	5.652532	5.656262	5.459001	5.45933
"ATXN2L"	5.589242	6.158553	5.906583	6.133497	6.171126	6.232725	6.102764	6.019774	6.09263	5.994859
"SNAI1"	5.541626	5.56532	5.613636	5.460666	5.60508	5.49215	5.687946	5.472825	5.516702	5.558379
"GPX1"	13.003326	12.923864	12.8346	12.93925	12.966196	12.824198	13.03078	12.718871	12.814614	12.839794
"MMP8"	5.529624	5.488124	5.536855	5.663118	5.645567	5.450832	5.59949	5.68348	5.603969	5.581789
"SNRNP48"	5.703513	5.635446	5.644578	5.686717	5.737806	5.703657	5.619204	5.570408	5.676785	5.585825
"AGPAT9"	6.589098	6.314198	6.319777	6.582065	6.685603	6.7183	6.711987	6.366608	6.435757	6.323761
"GSTA3"	6.446423	6.492903	6.367549	6.070864	6.551588	6.18408	6.452862	6.308302	6.284508	6.50009
"ABLIM1"	5.738221	5.637847	5.746951	5.868405	5.747602	5.880145	5.71732	5.839133	5.693717	5.735896
"C17orf89"	6.85547	6.862127	6.633662	6.682897	6.874793	7.062849	7.150656	7.187439	6.819231	6.859853
"LURAP1"	5.657243	5.848304	5.822519	5.589318	5.582172	5.620167	5.475383	5.599299	5.755183	5.694593
"ARAP1"	6.098145	5.909759	5.728445	5.925926	5.871115	5.888306	5.738167	5.890264	5.775935	5.828042
"ARFGAP2"	6.797809	6.964081	6.839664	6.752813	6.746645	7.048984	7.418876	6.968201	7.050391	7.102473
"PRDM2"	7.585962	7.638828	7.301362	7.696981	7.363746	7.538849	7.126277	7.632769	7.387998	7.54396
"ALPP"	7.989314	7.512154	8.079913	7.912586	7.325716	8.339497	8.835294	7.352159	8.109249	7.953198
"SERINC4"	5.512584	5.462897	5.55576	5.515086	5.634839	5.494088	5.549586	5.596512	5.692362	5.576872
"TBK1"	9.939661	10.146353	10.321716	10.57287	10.300278	10.157046	9.29257	10.190476	10.290411	10.13974
"PITRM1"	6.37934	6.462332	6.366813	6.245053	6.24674	6.293641	6.324792	6.311268	6.269609	6.308391
"ACE2"	5.95155	5.973711	5.878663	5.992889	6.168864	7.220836	7.033828	6.996108	7.098092	7.125293
"PRPH2"	5.548695	5.518593	5.594746	5.505317	5.610147	5.548894	5.617796	5.481417	5.385449	5.366854
"USP9Y"	5.708039	5.63918	5.50489	5.595289	5.567297	5.573394	5.434305	5.718189	5.46836	5.593373
"ADRB2"	5.999909	5.949655	6.043766	6.056242	6.352035	5.9544	6.034892	6.278427	6.089165	6.060985
"ZNF717"	5.841264	5.923789	5.858617	5.860832	5.92183	5.938388	5.996417	5.843783	5.901751	6.093743
"FLOT1"	9.125651	9.259224	8.944571	9.348885	9.151726	9.472652	9.752983	9.224005	9.352441	9.63186
"EPPIN-WFDC6"	5.696098	5.532314	5.587034	5.508546	5.568436	5.63048	5.617186	5.623171	5.506296	5.616663
"WNK1"	6.754467	6.808495	7.009506	7.272294	7.241276	6.750981	6.658047	7.305147	6.85867	6.962946
"PDXDC1"	8.278786	8.14063	8.116215	8.092095	8.187079	7.880631	8.047216	8.504177	8.361773	8.294509
"FOLR4"	5.713602	5.443457	5.503476	5.574739	6.074904	5.498743	5.622915	5.818759	5.494849	5.513246
"ASCC2"	6.975024	6.878806	6.872164	6.953394	6.960695	6.943205	7.403195	7.004113	6.927047	7.013667
"CLDN18"	5.824519	5.659323	5.755326	5.752343	5.588332	5.616741	5.747191	5.71021	5.601919	5.712295
"MS4A6A"	5.627596	5.570458	5.471717	5.742737	5.7519	5.650316	5.688805	5.731035	5.505735	5.559261
"FBXW4"	6.146161	6.075573	6.022349	6.131041	6.006177	6.250137	6.49883	6.286471	6.316655	6.239013
"PPM1N"	5.526147	5.764912	5.792153	5.651117	5.694109	5.844102	5.542063	5.678288	5.646922	5.732849
"FRY"	5.582259	5.685552	5.652969	5.578441	5.611193	5.564911	5.667166	5.614711	5.769499	5.743055
"KCNH7"	5.613613	5.373243	5.553821	5.676783	5.648882	5.579097	5.533258	5.813335	5.396539	5.584149
"WDR62"	6.185357	5.970619	5.798851	6.102505	5.994226	6.105067	5.984467	6.320922	6.09044	5.775293
"CNOT3"	6.216542	6.134386	6.095278	6.435605	6.362538	6.097838	6.368169	6.454389	6.301615	6.22728
"ZBTB34"	5.701999	5.700654	5.693414	5.681358	5.714775	5.746241	5.741094	5.599161	5.772059	5.728583
"SUCNR1"	5.676917	5.395918	5.495316	5.79305	5.665812	5.370438	5.454595	5.657323	5.43957	5.452474
"GPBP1L1"	7.127233	6.974732	6.791827	7.07795	7.388696	7.43379	7.303564	7.334287	7.562768	7.41027
"XPNPEP1"	7.401943	7.375879	7.403047	7.56714	7.306466	7.605053	7.828044	7.434361	7.554845	7.439887
"ARHGEF33"	5.946666	6.184233	6.063885	6.077962	5.886702	6.11036	6.395791	5.684028	6.373989	6.251864
"ADM2"	5.750132	5.358714	5.541538	5.687123	5.678	5.739267	5.618595	5.720407	5.546838	5.544271
"PNPLA3"	6.662969	6.499022	6.57205	6.662482	6.615516	6.897094	7.803888	7.552833	7.135186	7.48137
"SLC44A1"	6.515688	6.779477	6.665124	6.758208	6.8746	7.342053	7.319569	7.141987	7.282882	7.214512
"CDX4"	5.652059	5.495579	5.663586	5.544696	5.643253	5.501695	5.577033	5.6533	5.54589	5.514728
"IL1RL2"	6.083257	5.646031	5.834209	5.871177	5.969012	5.988874	6.032933	6.110933	5.884188	5.895815
"TIMM50"	8.668973	8.755623	8.374752	8.132949	8.335514	7.714394	8.902853	8.019702	8.170069	8.330176
"LRRC59"	7.794711	7.639018	7.878061	7.657596	7.464781	7.251305	7.672901	7.29723	7.471211	7.300886
"C12orf56"	5.67028	5.761889	5.838048	5.898812	5.660153	5.771339	5.786362	5.735911	5.848965	5.871554
"NAP1L1"	6.956788	6.83403	7.308314	6.917348	7.057125	6.560105	6.305304	6.828163	6.824555	6.622835
