"Wild.type.untreated.rep1"	"Wild.type.untreated.rep2"	"Wild.type.untreated.rep3"	"Wild.type.untreated.rep4"	"Wild.type.untreated.rep5"	"Wild.type.antibiotic.treated.rep1"	"Wild.type.antibiotic.treated.rep2"	"Wild.type.antibiotic.treated.rep3"	"Wild.type.antibiotic.treated.rep4"	"Wild.type.antibiotic.treated.rep5"
"PIEZO1"	6.114649	6.388965	6.236645	6.215311	5.990428	6.021639	6.21993	6.195447	6.137739	6.199097
"WDR4"	5.756895	5.782705	5.737719	5.699503	5.722622	5.815117	5.756416	5.855213	5.801557	5.813221
"DCAF11"	7.107282	7.067586	6.908766	6.787424	7.0874	7.059316	7.514728	7.08526	7.330303	7.099107
"LMAN1L"	5.667434	5.644839	5.549458	5.536242	5.649659	5.661506	5.666914	5.677609	5.642439	5.622238
"ZNF318"	6.500161	6.575134	6.54032	6.709804	6.827798	6.545765	6.428996	6.785323	6.537883	6.632649
"NR1I3"	5.994312	5.890351	5.817347	5.81434	5.893791	5.983643	6.02627	5.966831	6.194588	6.22665
"SMPD4"	5.820391	6.054041	5.8825	5.714607	5.698433	5.84058	5.933219	5.934791	5.811073	5.910966
"XKR5"	5.587878	5.850198	5.787088	5.809032	5.729882	5.652123	5.719174	5.643272	5.732779	5.684383
"TSN"	6.687689	6.694818	6.735733	6.449772	6.594982	6.380429	6.671488	6.609134	6.589714	6.688604
"TMC6"	7.844001	7.997733	7.654348	7.926137	7.895774	7.873215	7.999856	7.985694	7.86093	7.85008
"UMPS"	6.566523	6.459379	6.660787	6.523915	6.857809	6.508943	7.05182	6.863789	6.828814	6.863452
"NEUROG2"	5.601427	5.508317	5.584281	5.561465	5.551036	5.723239	5.636067	5.485736	5.542643	5.327784
"CNST"	8.392235	8.371497	8.411352	9.004882	8.77138	8.310117	8.824508	8.864395	8.59946	8.652888
"MAP4K2"	6.111709	6.290988	6.181242	6.451924	6.084526	6.142454	6.419449	6.255779	6.249931	6.260938
"WARS2"	6.306638	6.352134	6.206619	6.274099	6.227098	6.037564	6.207713	6.441055	6.154751	6.102342
"TTC26"	9.384647	9.31193	9.347874	9.66265	9.797072	9.158766	9.238861	9.491851	9.39084	9.388034
"CLEC4C"	5.695642	5.500352	5.501109	5.802253	5.888961	5.637756	5.601451	5.654022	5.507793	5.546425
"C20orf27"	9.312526	9.365788	8.868617	9.104291	9.359244	9.229906	9.606353	9.433214	9.135912	9.168725
"WDR89"	6.80909	6.690182	6.725236	6.56982	6.849673	6.732897	6.773578	6.813058	6.60128	6.777624
"ALS2CR11"	12.529716	12.124983	12.400335	12.77222	12.352282	12.33011	11.618665	11.84637	12.20532	11.802319
"LIG1"	6.589431	6.731216	6.76326	6.609496	6.684847	6.341764	6.682233	6.544965	6.476812	6.472136
"TRIP10"	7.449183	7.397243	7.684525	7.772538	7.802133	8.062893	7.891422	7.604793	7.976446	7.933163
"PIM2"	5.537595	5.534427	5.538039	5.641426	5.604443	5.751636	5.687131	5.43533	5.724071	5.5972
"ACY1"	7.51111	7.54383	7.477208	7.26697	7.527089	7.178118	7.687992	7.435291	7.435882	7.443487
"HEYL"	5.622584	5.502268	5.519428	5.5429	5.615239	5.455302	5.807571	5.72485	5.723167	5.423796
"WBP11"	8.706743	8.337944	8.720561	9.509179	9.146089	9.038132	8.633044	9.11797	9.030327	9.095988
"SLC2A8"	5.96776	5.884355	5.818504	5.921985	6.085695	5.855639	5.888883	5.976832	5.910382	5.761589
"LIN7A"	5.559133	5.519557	5.541803	5.559499	5.61378	5.55685	5.661363	5.618938	5.63991	5.549498
"MED16"	8.405295	8.494334	7.816033	8.025459	8.241106	8.324898	8.678859	8.571304	8.050645	8.408373
"EPHB3"	5.750257	5.693746	5.532604	5.617209	5.943625	5.636785	5.643818	5.698471	5.672814	5.555482
"CCDC12"	8.783967	8.727587	8.763292	8.858262	8.58397	8.937567	9.257148	8.901429	9.362049	9.177927
"PTCHD4"	5.499518	5.677418	5.624019	5.673924	5.630129	5.725155	5.847418	5.533464	5.612732	5.732593
"DDRGK1"	10.513789	10.566657	10.059941	10.055583	10.300192	11.002018	10.892444	10.761618	10.626185	10.781711
"HIST2H4A"	6.041921	5.837154	6.120344	6.010716	6.011414	5.665211	5.962837	5.951672	5.691673	5.553309
"AIDA"	6.441832	6.339032	6.362887	6.562631	6.505474	6.373397	6.426718	6.454044	6.497014	6.326132
"HCK"	5.683563	5.614975	5.510173	5.708476	5.693113	5.584441	5.445718	5.714694	5.557432	5.623957
"LRIG3"	10.019889	10.612981	9.81405	9.911428	10.010687	9.860327	9.571792	10.732827	10.044935	10.356182
"YDJC"	8.115494	8.3494	7.76125	7.719636	7.985371	8.184464	8.60401	7.73417	8.040978	8.083981
"SLC12A6"	6.92793	7.043448	7.024294	7.307031	7.263259	7.289124	6.85748	7.531898	7.355731	7.499194
"JAK1"	6.538932	6.271582	6.42047	6.327804	6.328161	6.224802	6.277043	6.308419	6.440867	6.186602
"ACTR5"	6.242363	6.18381	6.243583	6.238498	6.191719	6.294847	6.659848	6.325755	6.158672	6.303828
"GGT7"	5.599102	5.553072	5.602799	5.565747	5.539904	5.526556	5.659827	5.541877	5.439781	5.478791
"HDAC5"	7.517302	7.701781	6.94203	7.354154	7.439192	7.575706	7.998361	7.429175	7.54277	7.799933
"VPS13C"	5.750731	5.790644	5.733184	5.737415	5.69073	5.774926	5.783605	5.771492	5.651036	5.605375
"CTDSP1"	6.39394	6.553181	6.358033	6.396945	6.424807	6.923967	6.802317	6.488386	6.544571	6.645933
"LRFN4"	5.585113	5.530191	5.671096	5.573245	5.622856	5.655714	5.575187	5.80949	5.793198	5.484444
"ING3"	6.228568	6.256937	5.993237	5.979054	6.251124	6.081595	6.142438	5.973872	6.38251	6.217517
"MTERFD3"	5.932938	6.001036	6.114605	5.86672	5.820334	6.036317	5.627615	5.962199	6.229058	6.005041
"BNIPL"	5.973754	6.066789	5.953437	5.871377	6.084078	6.306674	6.307696	6.209789	6.282701	6.219474
"CHD2"	6.587847	6.639264	6.580235	6.543056	6.541826	6.576548	6.257561	6.833748	6.554819	6.389794
"KIDINS220"	7.064563	7.178787	6.989485	7.02557	6.951012	6.9967	6.845321	7.03883	7.145651	6.976361
"TMEM88"	7.800523	7.778387	7.532613	7.594276	7.77744	7.891981	7.971563	7.878573	7.732322	7.880532
"ZCCHC12"	5.501676	5.6454	5.62917	5.699266	5.491631	5.594566	5.700229	5.566589	5.789873	5.657091
"GSDMA"	5.846084	5.600694	5.416917	5.551372	5.79824	5.606003	5.667458	5.691631	5.590361	5.706607
"ASXL2"	5.793739	6.162934	6.352163	6.024353	5.667492	6.125849	6.389608	5.653185	6.009972	6.204482
