"Wild.type.untreated.rep1"	"Wild.type.untreated.rep2"	"Wild.type.untreated.rep3"	"Wild.type.untreated.rep4"	"Wild.type.untreated.rep5"	"Wild.type.antibiotic.treated.rep1"	"Wild.type.antibiotic.treated.rep2"	"Wild.type.antibiotic.treated.rep3"	"Wild.type.antibiotic.treated.rep4"	"Wild.type.antibiotic.treated.rep5"
"67885"	9.09118483918677	9.04191577522585	8.6038320942307	8.62829111556544	8.93462411528633	9.07652041923583	9.67682956955217	8.90901702636292	8.75284744186201	9.10340899914821
"12905"	5.62643617332857	5.76950474906417	5.76472522969417	5.9600996204208	5.83749589268814	5.80463129231834	5.94591841656868	5.74146575188512	5.89161305152083	5.77323792576013
"71306"	5.94398114057495	5.93615916261809	5.84235439479848	6.11835439893321	5.97368866735719	6.24873955240413	6.46463622218589	6.08831561004827	6.07152159103471	6.08208043321013
"381038"	9.61923794162666	9.7276434068506	9.43384967767071	9.3219110295337	9.427949224329	10.1158444519593	9.99694224441281	9.78689334635065	9.94695173160813	9.92494578939496
"665509"	8.50599794760285	7.75057062994452	8.02894642629164	7.96116501057006	8.04521973308574	7.3803854931633	8.03282901148181	7.70606500522083	7.95739744797448	7.55454131025577
"70571"	5.5304570616381	5.64376736146064	5.51357171425931	5.52481201233136	5.58177248184671	5.40543780703003	5.56689891067951	5.56250295538916	5.67128157494752	5.54935296286651
"239796"	7.18901659652398	7.13716293434603	7.23369287588416	7.44634775640379	7.37021387679446	7.74295856756981	7.64410981727704	7.50203449802019	7.55001994749347	7.41845489176994
"20901"	9.09879529313433	9.09118483918677	9.27776030849686	8.84041230936075	9.11257265708852	9.38084018734644	8.66897260388375	9.41501006773571	9.00656269926006	8.80221736087475
"70361"	7.5379512168672	7.70987188514958	8.68810791982263	8.39267143430851	7.98119620098821	7.22193841364126	6.96719670130055	7.7376383021567	7.50268020315552	7.4483184965684
"22757"	6.73261473280247	6.76679539754451	6.72220833100642	6.79938537259736	6.79149674079977	6.885213212261	7.01565794031425	6.82292212336581	6.76442862007292	7.07650447331345
"242736"	7.3850349190234	7.29015978443989	7.12373006090356	7.1832555516215	7.48593627262594	7.44320295697264	7.69654426920417	7.16821256750996	6.99329690679653	7.75512922550351
"70297"	7.39306244621195	7.27105245086108	7.58312170266939	7.97521118363889	7.54406416189427	6.96428972257984	6.86232978109492	7.48633621215642	6.9567330982082	6.83942635509234
"74013"	6.14199526389616	6.21294278237724	5.79225936036275	5.90768986573191	6.21328637729701	6.15137026556366	6.03169563542366	6.25434878890082	6.20951787788828	6.5038295907162
"66724"	5.81782278396854	6.12707515928383	6.25340419766457	6.35037047295969	6.11965031892104	6.11041759955456	5.77234441151686	6.06515132131445	5.968356987361	5.97807340915803
"68626"	6.62258435584698	6.61957219529559	6.52433106860734	6.51607486501099	6.39535293582543	6.47538833911568	6.67535582809363	6.43989694770314	6.44165275468073	6.51243106227536
"100045940"	5.51889635227671	5.6685465707008	5.72819695024111	5.77502145202125	5.59130376143328	5.55801343004389	5.62610826834354	5.70767571658064	5.50376315212993	5.74457118767419
"66930"	5.5620649792258	5.59168867825705	5.50375212837377	5.49155667164852	5.54357826236211	5.36392884506231	5.49367343172144	5.64009801020632	5.49216743008076	5.50358642309959
"19255"	5.68202822476737	5.42042840075393	5.64519037806385	5.69031423167618	5.69160626604537	5.54943028913176	5.5650895238306	5.7844512359144	5.48021171904985	5.56197788511558
"26415"	11.0170700799561	10.9611352014391	10.6931695674775	11.0113301592136	10.8283811355657	10.5608161543357	10.750587609524	10.4402510149482	10.5095714029085	10.7227197218533
"235406"	6.61289132625778	6.42349181106523	6.45866280771293	6.66225742890307	6.73752504802463	6.59840308733351	6.89495631357151	6.89637462868996	6.66477765677193	6.76883954070533
"80910"	5.57847953403079	5.54989074000044	5.47279710191935	5.70254499064166	5.67869564014612	5.51451647087078	5.63945847236767	5.62941550803966	5.57098992634887	5.54690398229266
"11717"	7.45812334413688	7.28140942783705	7.43587873922866	7.46970029307609	7.30850989859784	7.33586076989043	7.29989612582337	7.45439038704164	7.32690215065861	7.19848651884408
"15122"	11.1622938963431	10.6790464164991	9.94345452742064	11.5178943734463	12.1029363457495	11.3860733750514	10.1784166948316	10.6307855846957	8.16193238558493	10.7300028873232
"16653"	8.54734489141235	8.51356481358608	8.58816254155012	8.59364938041936	8.39753039667279	8.3469887713951	7.83778028059887	8.30881548137348	8.5985191305775	8.28407795470757
"242505"	6.68744865287703	6.49530136460195	6.97400183218646	6.92371751065319	7.22524688409341	6.74187203018473	6.28117807384222	7.12415421614934	6.85625423028391	6.95333737844498
"76453"	5.56014308944621	5.70654740737366	5.56717404509428	5.47573094776766	5.6320610050601	5.89899617435971	5.67511906735308	5.6569131332009	5.90969016277349	5.82841997598599
"217306"	5.67064771371989	5.42124302680863	5.48803464933908	5.62785846083583	5.73976783921647	5.49443227202087	5.46525624795065	5.65069592207168	5.3723917691133	5.4020722461361
"21815"	6.7414148491183	6.80064703430366	6.63726698477744	6.46512574226275	6.69160248889868	6.87185184755837	7.07827059375135	6.99683257711311	7.25772995716967	7.22318205625655
"140546"	6.4514672744067	6.49236011083261	6.24138895165372	6.35616295708504	6.3745009276386	6.45636524219531	6.65946502642096	6.53668910395988	6.69492712470397	6.66307018155807
"15233"	5.52218723462472	5.79506919036707	5.89395212158861	5.904765802726	5.59957102069663	5.7998036317677	5.76065102427755	5.61591672770186	5.74544619337852	5.73869305408841
"17116"	5.47565001147128	5.54751221662631	5.68844668076238	5.64072714902717	5.59907831842727	5.54913906541824	5.74730687566032	5.69583427212084	5.73619817513357	5.61183905970378
"630242"	6.09673075501007	5.83456662459055	5.82692577554015	6.10939086947339	5.72380080523391	5.74123674922783	5.70320297457212	5.74431947514345	5.87333436803588	5.71455566898046
"68112"	6.45312166828006	6.45771730892769	6.32412823463622	6.39916352497732	6.42180258221904	6.6143901654282	6.71706917622712	6.43815349749875	6.56912804333999	6.62297269396517
"545750"	6.50647986706588	6.21950459769388	6.55322710194698	6.53924816530375	6.67390738103137	7.01285331065138	7.07548894213178	6.59776478683964	6.61551570513171	6.78927771523159
"77697"	6.13455350641527	6.09427226413955	6.08060532102601	6.33102366236354	6.10704390977107	6.04230330324585	6.11127082976142	6.13997774999154	6.11646854631783	6.14263471551239
"14950"	7.21489123121959	7.19013117774807	7.26751736854375	7.21656104884959	7.28537773113183	7.14179819833192	7.2507334418541	7.2044298548177	7.05287205687352	7.09889035841445
"228421"	5.98711183939982	5.79981831159924	6.05710287399916	5.91566299437111	5.76897516694073	5.53571480818341	5.55574138283706	5.80185179087105	5.64098001976257	5.55664857939504
"26970"	6.2058845077099	5.47903579651955	5.4790499863111	5.69671012759089	6.03630409597331	5.64378222148088	5.51549339923957	6.10528415689359	5.39877186914292	5.54415898098301
"94284"	8.68016438779592	8.52967505276249	8.22163136125177	8.37136248143049	7.72373868196362	8.35557208110784	8.30554156334289	7.77866023638967	8.16797759600167	7.73538378458806
"19264"	5.78814949487763	5.68561097731276	5.79375545441782	5.73995911889261	5.8720206116928	5.65398722715655	5.50813907277439	5.85569353665606	5.54944356004138	5.57094109406924
"51902"	5.58902144890994	5.52717740974137	5.55895335483553	5.68059098447129	5.67862313506516	5.58289845952257	5.62692751021238	5.5481663613328	5.6391494647158	5.5682897854577
"226101"	6.09022232440302	6.06185790891704	6.21740551837955	6.34704830229548	6.07448612174553	6.20056812890834	6.0606328703107	6.36141589009994	6.26779424473856	6.15772678852403
"56353"	7.47137319053933	7.76674402605211	7.97235432761996	7.77096154593846	8.12259042405871	8.03054792885126	6.94156724341494	8.00044381912231	8.00539325765783	7.81567157160059
"30926"	6.682223773767	6.59931158818841	6.57675460385085	6.44772123007473	6.46583957089618	6.45366187619521	6.69474591865262	6.41503170557139	6.59291259131793	6.54333325847279
"320633"	5.68921045122612	5.59443756197104	5.68107250699306	5.61024548424936	5.78482294232591	5.59261802009401	5.58383972768871	5.65967762548583	5.56834622983038	5.55509410271095
"327958"	5.99131619350616	6.06603427201565	6.08668736464138	6.28955422736372	6.03727704747674	6.08085035789902	6.13010254414202	5.88643231692867	6.09767851926823	6.15238322696443
"100046278"	5.68188682778709	5.20242712609813	6.1165981087558	6.04020308482015	5.63937217631901	5.51723493334891	5.60946294434458	6.40805874665749	5.37721569440316	5.38927553038279
"213649"	8.17607862192851	8.26851358822633	7.76288148918435	7.96231558923754	7.51789893748913	8.11145043716994	8.56795607541547	8.07052553162479	8.35204504267264	8.28721383097091
"12361"	9.24370686563683	9.02986701035259	9.21947180601531	9.49432276171914	9.37191805723457	9.00762718354798	8.605548581313	9.50976534120631	9.13368314422867	9.07142291717964
"19341"	8.10187984078514	8.12867703918987	7.44448224779669	8.07736632571154	8.07991311426116	9.33327111422625	8.88038309567316	8.25525942599993	8.53367383107997	8.53135313974477
"11989"	5.47593002128848	5.67199245538189	5.66081809370624	5.62556631840337	5.52247846958539	5.59154458404189	5.57716108175172	5.65307610910741	5.70890497749302	5.66818208875967
"241520"	5.56436669422548	5.56937158036333	5.50413617333161	5.5309358227464	5.52320438005367	5.60511755613185	5.54125565816794	5.47783351842129	5.5926453159742	5.53750053012476
"320244"	5.86551190425926	5.71955789460816	5.6578448916961	5.69633133419313	6.006845430876	5.72552592433115	5.70151525063876	5.87272967736451	5.58228346446237	5.61611249859349
"21843"	6.30235093445151	6.36879226389113	6.38910386983448	6.21554306003777	6.25092988380851	6.06310712963028	6.09841198993774	6.12702978147632	6.2163319808937	6.36916439281269
"258947"	5.78337886459811	5.66314328445572	5.63701274087469	5.6319802099898	5.59789933299397	5.82110382894983	5.55253765359418	5.83777747477881	5.64363889747927	5.6918829950465
"100045840"	5.72285067219409	5.56022576461113	5.7056331254682	5.721857265094	5.74884809712644	5.80062050525985	5.589435706944	5.79827520868973	5.55708034495829	5.91504899705134
"11629"	5.84333485156092	5.80044416326072	5.74432422762375	5.87563794061743	5.86703238442095	5.79230909803544	5.82959426361869	5.86127614027811	5.84621655126173	5.81977835356397
"232910"	9.18609066236322	9.16915671286993	9.06253688589097	9.1591784760358	9.26372024467492	9.29403107824401	9.67175781821086	9.22462202603738	9.1923658445496	9.31450574112867
"59287"	7.22461208648852	7.27002283214537	7.17450659444575	7.40426814615477	7.2661839544859	7.63623336011643	7.39164426404287	7.42088350226995	7.38718805068269	7.36066328709895
"378431"	5.49033357569013	5.57532459780024	5.62831600155437	5.7315130831808	5.64712352694787	5.67081411589719	5.64118212412692	5.61441364772459	5.57196460276798	5.55189598390277
"69309"	5.92223678390998	5.97752046753022	5.91331766771827	5.96281470216267	6.29929743764885	5.99744948832654	6.26806586106038	6.06584763564808	5.97797712439571	6.1109622089264
"234839"	6.11464878186632	6.38896510620645	6.2366447349676	6.21531088359161	5.99042761248624	6.02163911402566	6.21993028953329	6.19544677741395	6.13773914688377	6.1990968796196
"57773"	5.75689490084245	5.78270469200462	5.73771928921095	5.6995033828044	5.72262152303716	5.81511692799872	5.7564155217715	5.85521294306399	5.80155726082208	5.81322126885204
"28199"	7.10728227257398	7.06758604451637	6.9087661092348	6.78742439814356	7.08740023362803	7.05931645440952	7.51472800017683	7.08525980780127	7.33030260720583	7.09910731329781
"235416"	5.66743441129518	5.64483895754211	5.54945756216963	5.53624172721435	5.64965884705089	5.66150600226993	5.66691435914277	5.67760886184045	5.64243855086563	5.62223779041791
"57908"	6.50016050585806	6.57513446073789	6.5403195679936	6.70980392265372	6.82779796471148	6.54576539373	6.42899611065238	6.78532282899323	6.53788322715825	6.63264851481658
"100046770"	9.40540406007846	9.53529242827682	8.91967995188111	9.15261266696182	9.29666718425451	9.61380016620888	9.53533781320374	9.38393298291664	9.59007544323163	9.08920229272707
"12355"	5.99431173315108	5.89035118792183	5.81734655887212	5.81433965880087	5.89379111926916	5.98364254865958	6.02627028661386	5.96683100665719	6.19458807702971	6.22665038448338
"77626"	5.82039104982756	6.05404113124372	5.88250026767099	5.7146065435292	5.69843339351856	5.84058028290674	5.93321852409773	5.9347910855016	5.81107326289055	5.91096582410927
"319581"	5.58787764050174	5.85019809481215	5.78708821822846	5.80903239872452	5.72988198113012	5.65212295909229	5.71917436007366	5.64327193580637	5.73277938503536	5.68438265858597
"22099"	6.68768882249821	6.69481783270723	6.73573332484434	6.4497720508191	6.59498236653547	6.38042931576458	6.67148756335706	6.60913395187012	6.58971413584182	6.68860375386426
"217353"	7.84400124851326	7.99773344268213	7.65434791556472	7.9261374627755	7.89577440419279	7.87321538874528	7.99985619287502	7.98569423265883	7.86093001721621	7.8500795505495
"75064"	5.56458909152397	5.54355369540053	5.50898820517418	5.48001763342948	5.57735277918803	5.57890763941714	5.49492682867913	5.51230141344514	5.34910912026904	5.59844390694313
"22247"	6.56652258437105	6.45937869168329	6.66078725757233	6.52391513568599	6.85780884644204	6.50894304132199	7.05182014047708	6.86378949297663	6.82881443739654	6.86345225901191
"433865"	9.09298677564892	9.47640580762585	9.25659412114058	8.52525279567	8.89385790214164	9.29553438180487	9.37132134418154	8.48189253313742	9.3022808024337	9.31070929245763
"11924"	5.601427057693	5.50831716525409	5.58428114497734	5.56146482444385	5.55103567862339	5.72323905920047	5.63606726242545	5.48573599375068	5.54264300676087	5.3277839359435
"226744"	8.39223513099594	8.3714973664252	8.41135193705218	9.00488205704033	8.77138015199264	8.3101166755499	8.82450771505905	8.86439511875567	8.59946046741212	8.65288817936891
"26412"	6.11170926795462	6.29098769051888	6.18124159850066	6.45192430782139	6.08452619456367	6.14245424877829	6.41944872480669	6.25577878884182	6.24993053484506	6.26093847938133
"70560"	6.30663825354348	6.35213379774987	6.2066189622355	6.27409856529807	6.22709757895977	6.03756447110553	6.2077134580049	6.44105479342931	6.15475078263594	6.10234158282061
"26413"	9.384647017437	9.3119300226865	9.34787395630079	9.66264993650282	9.79707179761854	9.15876604191557	9.23886109177906	9.49185094850109	9.39084040543063	9.3880335910366
